session_code,participant_code,selected_rounds,prompt_round_payload,llm_predictions
r6fnu2ss,aih6vigb,"[6, 7, 12, 15, 16]","[{""round"": 6, ""sender_message_encoded"": ""5""}, {""round"": 7, ""sender_message_encoded"": ""3""}, {""round"": 12, ""sender_message_encoded"": ""4""}, {""round"": 15, ""sender_message_encoded"": ""2""}, {""round"": 16, ""sender_message_encoded"": ""1""}]","{""6"": 5.0, ""7"": 3.0, ""12"": 4.0, ""15"": 2.0, ""16"": 1.0}"
r6fnu2ss,lkm0acgc,"[6, 7, 12, 15, 16]","[{""round"": 6, ""sender_message_encoded"": ""4""}, {""round"": 7, ""sender_message_encoded"": ""5""}, {""round"": 12, ""sender_message_encoded"": ""4""}, {""round"": 15, ""sender_message_encoded"": ""5""}, {""round"": 16, ""sender_message_encoded"": ""5""}]","{""6"": 4.0, ""7"": 5.0, ""12"": 4.0, ""15"": 5.0, ""16"": 5.0}"
r6fnu2ss,pw4trmjs,"[6, 7, 12, 15, 16]","[{""round"": 6, ""sender_message_encoded"": ""6""}, {""round"": 7, ""sender_message_encoded"": ""6""}, {""round"": 12, ""sender_message_encoded"": ""5""}, {""round"": 15, ""sender_message_encoded"": ""7""}, {""round"": 16, ""sender_message_encoded"": ""3""}]","{""6"": 6.0, ""7"": 6.0, ""12"": 5.0, ""15"": 7.0, ""16"": 3.0}"
r6fnu2ss,uxedcf11,"[6, 7, 12, 15, 16]","[{""round"": 6, ""sender_message_encoded"": ""1""}, {""round"": 7, ""sender_message_encoded"": ""7""}, {""round"": 12, ""sender_message_encoded"": ""5""}, {""round"": 15, ""sender_message_encoded"": ""3""}, {""round"": 16, ""sender_message_encoded"": ""4""}]","{""6"": 1.0, ""7"": 7.0, ""12"": 5.0, ""15"": 3.0, ""16"": 4.0}"
r6fnu2ss,j71ms0hl,"[6, 7, 12, 15, 16]","[{""round"": 6, ""sender_message_encoded"": ""2""}, {""round"": 7, ""sender_message_encoded"": ""6""}, {""round"": 12, ""sender_message_encoded"": ""5""}, {""round"": 15, ""sender_message_encoded"": ""6""}, {""round"": 16, ""sender_message_encoded"": ""3""}]","{""6"": 2.0, ""7"": 6.0, ""12"": 5.0, ""15"": 6.0, ""16"": 3.0}"
r6fnu2ss,w5pudjp7,"[6, 7, 12, 15, 16]","[{""round"": 6, ""sender_message_encoded"": ""7""}, {""round"": 7, ""sender_message_encoded"": ""5""}, {""round"": 12, ""sender_message_encoded"": ""2""}, {""round"": 15, ""sender_message_encoded"": ""2""}, {""round"": 16, ""sender_message_encoded"": ""7""}]","{""6"": 7.0, ""7"": 5.0, ""12"": 2.0, ""15"": 2.0, ""16"": 7.0}"
r6fnu2ss,epfy7e30,"[6, 7, 12, 15, 16]","[{""round"": 6, ""sender_message_encoded"": ""3""}, {""round"": 7, ""sender_message_encoded"": ""6""}, {""round"": 12, ""sender_message_encoded"": ""2""}, {""round"": 15, ""sender_message_encoded"": ""4""}, {""round"": 16, ""sender_message_encoded"": ""7""}]","{""6"": 3.0, ""7"": 6.0, ""12"": 2.0, ""15"": 4.0, ""16"": 7.0}"
r6fnu2ss,lcpoawza,"[6, 7, 12, 15, 16]","[{""round"": 6, ""sender_message_encoded"": ""6""}, {""round"": 7, ""sender_message_encoded"": ""1""}, {""round"": 12, ""sender_message_encoded"": ""6""}, {""round"": 15, ""sender_message_encoded"": ""6""}, {""round"": 16, ""sender_message_encoded"": ""5""}]","{""6"": 6.0, ""7"": 1.0, ""12"": 6.0, ""15"": 6.0, ""16"": 5.0}"
r6fnu2ss,i63yjlqn,"[6, 7, 12, 15, 16]","[{""round"": 6, ""sender_message_encoded"": ""4""}, {""round"": 7, ""sender_message_encoded"": ""5""}, {""round"": 12, ""sender_message_encoded"": ""6""}, {""round"": 15, ""sender_message_encoded"": ""5""}, {""round"": 16, ""sender_message_encoded"": ""5""}]","{""6"": 4.0, ""7"": 5.0, ""12"": 6.0, ""15"": 5.0, ""16"": 5.0}"
r6fnu2ss,zzx9j8v4,"[6, 7, 12, 15, 16]","[{""round"": 6, ""sender_message_encoded"": ""5""}, {""round"": 7, ""sender_message_encoded"": ""7""}, {""round"": 12, ""sender_message_encoded"": ""4""}, {""round"": 15, ""sender_message_encoded"": ""4""}, {""round"": 16, ""sender_message_encoded"": ""2""}]","{""6"": 5.0, ""7"": 7.0, ""12"": 4.0, ""15"": 4.0, ""16"": 2.0}"
r6fnu2ss,qxe0gwby,"[6, 7, 12, 15, 16]","[{""round"": 6, ""sender_message_encoded"": ""1""}, {""round"": 7, ""sender_message_encoded"": ""5""}, {""round"": 12, ""sender_message_encoded"": ""4""}, {""round"": 15, ""sender_message_encoded"": ""6""}, {""round"": 16, ""sender_message_encoded"": ""6""}]","{""6"": 1.0, ""7"": 5.0, ""12"": 4.0, ""15"": 6.0, ""16"": 6.0}"
r6fnu2ss,nic87rql,"[6, 7, 12, 15, 16]","[{""round"": 6, ""sender_message_encoded"": ""6""}, {""round"": 7, ""sender_message_encoded"": ""7""}, {""round"": 12, ""sender_message_encoded"": ""6""}, {""round"": 15, ""sender_message_encoded"": ""5""}, {""round"": 16, ""sender_message_encoded"": ""7""}]","{""6"": 6.0, ""7"": 7.0, ""12"": 6.0, ""15"": 5.0, ""16"": 7.0}"
r6fnu2ss,bj6mp1m3,"[6, 7, 12, 15, 16]","[{""round"": 6, ""sender_message_encoded"": ""5""}, {""round"": 7, ""sender_message_encoded"": ""2""}, {""round"": 12, ""sender_message_encoded"": ""6""}, {""round"": 15, ""sender_message_encoded"": ""7""}, {""round"": 16, ""sender_message_encoded"": ""4""}]","{""6"": 5.0, ""7"": 2.0, ""12"": 6.0, ""15"": 7.0, ""16"": 4.0}"
r6fnu2ss,qtikmj84,"[6, 7, 12, 15, 16]","[{""round"": 6, ""sender_message_encoded"": ""7""}, {""round"": 7, ""sender_message_encoded"": ""2""}, {""round"": 12, ""sender_message_encoded"": ""5""}, {""round"": 15, ""sender_message_encoded"": ""2""}, {""round"": 16, ""sender_message_encoded"": ""2""}]","{""6"": 7.0, ""7"": 2.0, ""12"": 5.0, ""15"": 2.0, ""16"": 2.0}"
r6fnu2ss,sb11vi86,"[6, 7, 12, 15, 16]","[{""round"": 6, ""sender_message_encoded"": ""1""}, {""round"": 7, ""sender_message_encoded"": ""7""}, {""round"": 12, ""sender_message_encoded"": ""3""}, {""round"": 15, ""sender_message_encoded"": ""4""}, {""round"": 16, ""sender_message_encoded"": ""5""}]","{""6"": 1.0, ""7"": 7.0, ""12"": 3.0, ""15"": 4.0, ""16"": 5.0}"
r6fnu2ss,2a5rrfma,"[6, 7, 12, 15, 16]","[{""round"": 6, ""sender_message_encoded"": ""5""}, {""round"": 7, ""sender_message_encoded"": ""6""}, {""round"": 12, ""sender_message_encoded"": ""1""}, {""round"": 15, ""sender_message_encoded"": ""5""}, {""round"": 16, ""sender_message_encoded"": ""4""}]","{""6"": 5.0, ""7"": 6.0, ""12"": 1.0, ""15"": 5.0, ""16"": 4.0}"
