session_code,participant_code,selected_rounds,prompt_round_payload,llm_predictions
r6fnu2ss,aih6vigb,"[4, 10, 14, 19, 24]","[{""round"": 4, ""sender_message_encoded"": ""7""}, {""round"": 10, ""sender_message_encoded"": ""7""}, {""round"": 14, ""sender_message_encoded"": ""3""}, {""round"": 19, ""sender_message_encoded"": ""5""}, {""round"": 24, ""sender_message_encoded"": ""6""}]","{""4"": 7.0, ""10"": 7.0, ""14"": 3.0, ""19"": 5.0, ""24"": 6.0}"
r6fnu2ss,lkm0acgc,"[4, 10, 14, 19, 24]","[{""round"": 4, ""sender_message_encoded"": ""4""}, {""round"": 10, ""sender_message_encoded"": ""7""}, {""round"": 14, ""sender_message_encoded"": ""1""}, {""round"": 19, ""sender_message_encoded"": ""2""}, {""round"": 24, ""sender_message_encoded"": ""6""}]","{""4"": 4.0, ""10"": 7.0, ""14"": 1.0, ""19"": 2.0, ""24"": 6.0}"
r6fnu2ss,pw4trmjs,"[4, 10, 14, 19, 24]","[{""round"": 4, ""sender_message_encoded"": ""7""}, {""round"": 10, ""sender_message_encoded"": ""2""}, {""round"": 14, ""sender_message_encoded"": ""6""}, {""round"": 19, ""sender_message_encoded"": ""5""}, {""round"": 24, ""sender_message_encoded"": ""5""}]","{""4"": 7.0, ""10"": 2.0, ""14"": 6.0, ""19"": 5.0, ""24"": 5.0}"
r6fnu2ss,uxedcf11,"[4, 10, 14, 19, 24]","[{""round"": 4, ""sender_message_encoded"": ""4""}, {""round"": 10, ""sender_message_encoded"": ""4""}, {""round"": 14, ""sender_message_encoded"": ""6""}, {""round"": 19, ""sender_message_encoded"": ""6""}, {""round"": 24, ""sender_message_encoded"": ""3""}]","{""4"": 4.0, ""10"": 4.0, ""14"": 6.0, ""19"": 6.0, ""24"": 3.0}"
r6fnu2ss,j71ms0hl,"[4, 10, 14, 19, 24]","[{""round"": 4, ""sender_message_encoded"": ""6""}, {""round"": 10, ""sender_message_encoded"": ""4""}, {""round"": 14, ""sender_message_encoded"": ""6""}, {""round"": 19, ""sender_message_encoded"": ""7""}, {""round"": 24, ""sender_message_encoded"": ""6""}]","{""4"": 6.0, ""10"": 4.0, ""14"": 6.0, ""19"": 7.0, ""24"": 6.0}"
r6fnu2ss,w5pudjp7,"[4, 10, 14, 19, 24]","[{""round"": 4, ""sender_message_encoded"": ""5""}, {""round"": 10, ""sender_message_encoded"": ""7""}, {""round"": 14, ""sender_message_encoded"": ""7""}, {""round"": 19, ""sender_message_encoded"": ""5""}, {""round"": 24, ""sender_message_encoded"": ""7""}]","{""4"": 5.0, ""10"": 7.0, ""14"": 7.0, ""19"": 5.0, ""24"": 7.0}"
r6fnu2ss,epfy7e30,"[4, 10, 14, 19, 24]","[{""round"": 4, ""sender_message_encoded"": ""4""}, {""round"": 10, ""sender_message_encoded"": ""7""}, {""round"": 14, ""sender_message_encoded"": ""5""}, {""round"": 19, ""sender_message_encoded"": ""2""}, {""round"": 24, ""sender_message_encoded"": ""7""}]","{""4"": 4.0, ""10"": 7.0, ""14"": 5.0, ""19"": 2.0, ""24"": 7.0}"
r6fnu2ss,lcpoawza,"[4, 10, 14, 19, 24]","[{""round"": 4, ""sender_message_encoded"": ""4""}, {""round"": 10, ""sender_message_encoded"": ""6""}, {""round"": 14, ""sender_message_encoded"": ""2""}, {""round"": 19, ""sender_message_encoded"": ""7""}, {""round"": 24, ""sender_message_encoded"": ""7""}]","{""4"": 4.0, ""10"": 6.0, ""14"": 2.0, ""19"": 7.0, ""24"": 7.0}"
r6fnu2ss,i63yjlqn,"[4, 10, 14, 19, 24]","[{""round"": 4, ""sender_message_encoded"": ""5""}, {""round"": 10, ""sender_message_encoded"": ""7""}, {""round"": 14, ""sender_message_encoded"": ""1""}, {""round"": 19, ""sender_message_encoded"": ""7""}, {""round"": 24, ""sender_message_encoded"": ""5""}]","{""4"": 5.0, ""10"": 7.0, ""14"": 1.0, ""19"": 7.0, ""24"": 5.0}"
r6fnu2ss,zzx9j8v4,"[4, 10, 14, 19, 24]","[{""round"": 4, ""sender_message_encoded"": ""6""}, {""round"": 10, ""sender_message_encoded"": ""4""}, {""round"": 14, ""sender_message_encoded"": ""1""}, {""round"": 19, ""sender_message_encoded"": ""6""}, {""round"": 24, ""sender_message_encoded"": ""1""}]","{""4"": 6.0, ""10"": 4.0, ""14"": 1.0, ""19"": 6.0, ""24"": 1.0}"
r6fnu2ss,qxe0gwby,"[4, 10, 14, 19, 24]","[{""round"": 4, ""sender_message_encoded"": ""6""}, {""round"": 10, ""sender_message_encoded"": ""7""}, {""round"": 14, ""sender_message_encoded"": ""7""}, {""round"": 19, ""sender_message_encoded"": ""6""}, {""round"": 24, ""sender_message_encoded"": ""4""}]","{""4"": 6.0, ""10"": 7.0, ""14"": 7.0, ""19"": 6.0, ""24"": 4.0}"
r6fnu2ss,nic87rql,"[4, 10, 14, 19, 24]","[{""round"": 4, ""sender_message_encoded"": ""7""}, {""round"": 10, ""sender_message_encoded"": ""4""}, {""round"": 14, ""sender_message_encoded"": ""3""}, {""round"": 19, ""sender_message_encoded"": ""5""}, {""round"": 24, ""sender_message_encoded"": ""5""}]","{""4"": 7.0, ""10"": 4.0, ""14"": 3.0, ""19"": 5.0, ""24"": 5.0}"
r6fnu2ss,bj6mp1m3,"[4, 10, 14, 19, 24]","[{""round"": 4, ""sender_message_encoded"": ""3""}, {""round"": 10, ""sender_message_encoded"": ""3""}, {""round"": 14, ""sender_message_encoded"": ""5""}, {""round"": 19, ""sender_message_encoded"": ""6""}, {""round"": 24, ""sender_message_encoded"": ""6""}]","{""4"": 3.0, ""10"": 3.0, ""14"": 5.0, ""19"": 6.0, ""24"": 6.0}"
r6fnu2ss,qtikmj84,"[4, 10, 14, 19, 24]","[{""round"": 4, ""sender_message_encoded"": ""6""}, {""round"": 10, ""sender_message_encoded"": ""2""}, {""round"": 14, ""sender_message_encoded"": ""7""}, {""round"": 19, ""sender_message_encoded"": ""5""}, {""round"": 24, ""sender_message_encoded"": ""7""}]","{""4"": 6.0, ""10"": 2.0, ""14"": 7.0, ""19"": 5.0, ""24"": 7.0}"
r6fnu2ss,sb11vi86,"[4, 10, 14, 19, 24]","[{""round"": 4, ""sender_message_encoded"": ""6""}, {""round"": 10, ""sender_message_encoded"": ""5""}, {""round"": 14, ""sender_message_encoded"": ""7""}, {""round"": 19, ""sender_message_encoded"": ""7""}, {""round"": 24, ""sender_message_encoded"": ""2""}]","{""4"": 6.0, ""10"": 5.0, ""14"": 7.0, ""19"": 7.0, ""24"": 2.0}"
r6fnu2ss,2a5rrfma,"[4, 10, 14, 19, 24]","[{""round"": 4, ""sender_message_encoded"": ""4""}, {""round"": 10, ""sender_message_encoded"": ""7""}, {""round"": 14, ""sender_message_encoded"": ""7""}, {""round"": 19, ""sender_message_encoded"": ""5""}, {""round"": 24, ""sender_message_encoded"": ""7""}]","{""4"": 4.0, ""10"": 7.0, ""14"": 7.0, ""19"": 5.0, ""24"": 7.0}"
